Time,Azide_1,Azide_2,Type,C,Yield1,Yield2
0,Arg,Cys,no_droplets,Arg-Cys-no_pSS,0.0,0.0
1,Arg,Cys,no_droplets,Arg-Cys-no_pSS,24.541893291893306,35.369646990740755
2,Arg,Cys,no_droplets,Arg-Cys-no_pSS,48.48161098161099,56.37659143518518
4,Arg,Cys,no_droplets,Arg-Cys-no_pSS,58.5356772856773,64.98687582671958
8,Arg,Cys,no_droplets,Arg-Cys-no_pSS,60.164141414141426,66.66149966931218
16,Arg,Cys,no_droplets,Arg-Cys-no_pSS,59.55144392644394,68.04005456349206
0,Arg,kArg,no_droplets,Arg-kArg-no_pSS,0.0,0.0
1,Arg,kArg,no_droplets,Arg-kArg-no_pSS,24.32983682983685,6.672494172494166
2,Arg,kArg,no_droplets,Arg-kArg-no_pSS,46.1457523957524,33.19493006993008
4,Arg,kArg,no_droplets,Arg-kArg-no_pSS,57.40902615902617,48.55688293188294
8,Arg,kArg,no_droplets,Arg-kArg-no_pSS,59.40332815332816,50.5859880859881
16,Arg,kArg,no_droplets,Arg-kArg-no_pSS,61.4097707847708,52.45159932659934
0,Arg,kArg,no_droplets,Arg-kArg-no_pSS,0.0,0.0
1,Arg,kArg,no_droplets,Arg-kArg-no_pSS,27.838480963480972,11.809602434602438
2,Arg,kArg,no_droplets,Arg-kArg-no_pSS,40.69460631960632,26.696451696451696
4,Arg,kArg,no_droplets,Arg-kArg-no_pSS,56.772856772856784,46.487308987309
8,Arg,kArg,no_droplets,Arg-kArg-no_pSS,58.326858326858336,48.5884485884486
16,Arg,kArg,no_droplets,Arg-kArg-no_pSS,54.39491064491065,44.46791634291635
0,Arg,kArg,pSS,Arg-kArg-pSS,0.0,0.0
1,Arg,kArg,pSS,Arg-kArg-pSS,5.072850035536602,-0.5384651402350391
2,Arg,kArg,pSS,Arg-kArg-pSS,10.819908394535261,9.005244182235355
4,Arg,kArg,pSS,Arg-kArg-pSS,10.91763405196242,10.99054174275413
8,Arg,kArg,pSS,Arg-kArg-pSS,27.874516307352117,28.603034134007586
16,Arg,kArg,pSS,Arg-kArg-pSS,38.647042564953004,42.431053050522074
0,Arg,kArg,pSS,Arg-kArg-pSS,0.0,0.0
1,Arg,kArg,pSS,Arg-kArg-pSS,8.528784648187633,9.92648780259401
2,Arg,kArg,pSS,Arg-kArg-pSS,10.41814735844586,13.817483728988158
4,Arg,kArg,pSS,Arg-kArg-pSS,8.528784648187633,9.92648780259401
8,Arg,kArg,pSS,Arg-kArg-pSS,23.851970307194193,28.345507327808217
16,Arg,kArg,pSS,Arg-kArg-pSS,37.57502171681277,43.560659268623894
0,Gly,kArg,pSS,Gly-kArg-pSS,0.0,0.0
1,Gly,kArg,pSS,Gly-kArg-pSS,19.07981299515692,2.562391721683777
2,Gly,kArg,pSS,Gly-kArg-pSS,18.016012989557957,8.084000561876667
4,Gly,kArg,pSS,Gly-kArg-pSS,23.20203801685284,22.333426979444702
8,Gly,kArg,pSS,Gly-kArg-pSS,27.492231460485435,42.741255794353144
16,Gly,kArg,pSS,Gly-kArg-pSS,36.08101676884747,63.666479374443995
0,Gly,kArg,pSS,Gly-kArg-pSS,0.0,0.0
1,Gly,kArg,pSS,Gly-kArg-pSS,6.558467008202462,4.073605843517358
2,Gly,kArg,pSS,Gly-kArg-pSS,22.64984182973601,19.77103525776092
4,Gly,kArg,pSS,Gly-kArg-pSS,26.905041852131806,37.92784567120851
8,Gly,kArg,pSS,Gly-kArg-pSS,32.05397385291566,52.0906494357822
16,Gly,kArg,pSS,Gly-kArg-pSS,35.63869992441422,68.0046354825116
0,Cys,kArg,pSS,Cys-kArg-pSS,0.0,0.0
1,Cys,kArg,pSS,Cys-kArg-pSS,8.692903429745549,9.92648780259401
2,Cys,kArg,pSS,Cys-kArg-pSS,17.32089232089234,21.53509388022663
4,Cys,kArg,pSS,Cys-kArg-pSS,16.03501998238842,26.334457086669495
8,Cys,kArg,pSS,Cys-kArg-pSS,21.22084490505544,49.214543241091924
16,Cys,kArg,pSS,Cys-kArg-pSS,27.386597123439234,71.2108442196938
0,Cys,kArg,pSS,Cys-kArg-pSS,0.0,0.0
1,Cys,kArg,pSS,Cys-kArg-pSS,11.470116733274654,2.104696352483968
2,Cys,kArg,pSS,Cys-kArg-pSS,17.031881505565735,25.552512056936845
4,Cys,kArg,pSS,Cys-kArg-pSS,9.797015060172964,21.503488317647623
8,Cys,kArg,pSS,Cys-kArg-pSS,22.026349657928606,54.03380624619564
16,Cys,kArg,pSS,Cys-kArg-pSS,24.099663573347787,69.54979631970784
0,Arg,kArg,no_droplets,Arg-kArg-no_pSS,0.0,0.0
1,Arg,kArg,no_droplets,Arg-kArg-no_pSS,5.3085803085803125,4.046317980744206
2,Arg,kArg,no_droplets,Arg-kArg-no_pSS,33.349058349058346,33.79629629629629
4,Arg,kArg,no_droplets,Arg-kArg-no_pSS,47.361897361897384,49.183580536039564
8,Arg,kArg,no_droplets,Arg-kArg-no_pSS,49.08517408517409,51.778124728944405
16,Arg,kArg,no_droplets,Arg-kArg-no_pSS,48.83634883634885,53.20929829126552
0,Arg,kArg,no_droplets,Arg-kArg-no_pSS,0.0,0.0
1,Arg,kArg,no_droplets,Arg-kArg-no_pSS,6.2946312946313006,3.157255616272028
2,Arg,kArg,no_droplets,Arg-kArg-no_pSS,37.40241240241241,37.14003816462834
4,Arg,kArg,no_droplets,Arg-kArg-no_pSS,52.42165242165242,51.44418423106949
8,Arg,kArg,no_droplets,Arg-kArg-no_pSS,53.63062863062863,54.15907710989679
16,Arg,kArg,no_droplets,Arg-kArg-no_pSS,48.992673992674,49.29417122040074
0,Gly,kArg,no_droplets,Gly-kArg-no_pSS,0.0,0.0
1,Gly,kArg,no_droplets,Gly-kArg-no_pSS,10.299617448898022,2.298551478879366
2,Gly,kArg,no_droplets,Gly-kArg-no_pSS,35.69501541623844,27.888368462138967
4,Gly,kArg,no_droplets,Gly-kArg-no_pSS,50.19912641315519,45.34109636568653
8,Gly,kArg,no_droplets,Gly-kArg-no_pSS,37.03608541738037,31.742779078844663
16,Gly,kArg,no_droplets,Gly-kArg-no_pSS,50.01498800959233,47.11271576025676
0,Gly,kArg,no_droplets,Gly-kArg-no_pSS,0.0,0.0
1,Gly,kArg,no_droplets,Gly-kArg-no_pSS,4.188791823683901,2.298551478879366
2,Gly,kArg,no_droplets,Gly-kArg-no_pSS,9.453151764302826,3.3827738745771643
4,Gly,kArg,no_droplets,Gly-kArg-no_pSS,55.53343039853831,52.31806748200193
8,Gly,kArg,no_droplets,Gly-kArg-no_pSS,47.6982699554642,44.190736403851176
16,Gly,kArg,no_droplets,Gly-kArg-no_pSS,47.803899737352985,44.35987509758003
0,Cys,kArg,no_droplets,Cys-kArg-no_pSS,0.0,0.0
1,Cys,kArg,no_droplets,Cys-kArg-no_pSS,2.9761904761904834,0.710165669182086
2,Cys,kArg,no_droplets,Cys-kArg-no_pSS,10.490480914588066,11.44071471940324
4,Cys,kArg,no_droplets,Cys-kArg-no_pSS,39.7250566893424,43.346127157602574
8,Cys,kArg,no_droplets,Cys-kArg-no_pSS,38.4182492441421,42.26190476190478
16,Cys,kArg,no_droplets,Cys-kArg-no_pSS,42.098332388510954,46.75166970248938
0,Cys,kArg,no_droplets,Cys-kArg-no_pSS,0.0,0.0
1,Cys,kArg,no_droplets,Cys-kArg-no_pSS,2.9761904761904834,-0.9541157082140629
2,Cys,kArg,no_droplets,Cys-kArg-no_pSS,25.134637188208625,23.25440194292654
4,Cys,kArg,no_droplets,Cys-kArg-no_pSS,41.80071334089192,39.59038077890539
8,Cys,kArg,no_droplets,Cys-kArg-no_pSS,47.280683106575964,46.99128285193859
16,Cys,kArg,no_droplets,Cys-kArg-no_pSS,47.268872826908556,46.86876572122475
